timestamp,cpu_total_pct,cpu_core_min,cpu_core_max,cpu_cores_csv,cpu_freq_min_mhz,cpu_freq_max_mhz,cpu_freq_csv,igpu_pct,igpu_ded_mb,igpu_shared_mb,nvidia_gpu_pct,nvidia_mem_pct,nvidia_mem_used_mb,nvidia_mem_total_mb,nvidia_temp_c,nvidia_power_w,nvidia_sm_clk_mhz,nvidia_mem_clk_mhz,nvidia_pcie_gen,nvidia_pcie_width,nvidia_throttle,nvidia_pcie_rx_kbs,nvidia_pcie_tx_kbs,nvidia_pstate,nvidia_power_limit_w,nvidia_sm_clk_max_mhz,nvidia_mem_clk_max_mhz,nvidia_sm_clk_eff_pct,nvidia_mem_clk_eff_pct,nvidia_power_eff_pct,npu_pct,npu_ded_mb,npu_shared_mb,npu_process_count,npu_infer_ms,cpu_throttle_pct,soc_temp_c,rapl_cpu_w,rapl_igpu_w,rapl_npu_w,rapl_soc_w,ram_used_gb,ram_total_gb,l0_gpu_busy,l0_xve_active,l0_xve_stall,l0_xve_occupancy,l0_l3_stall,l0_gpu_freq_mhz,l0_mem_read_gbs,l0_mem_write_gbs,l0_compute_busy,l0_copy_busy,l0_render_busy,zes_gpu_busy,zes_compute_busy,zes_render_busy,zes_copy_busy,zes_media_busy,zes_freq_mhz,zes_mem_used_mb,zes_temp_c,zes_power_w,dram_read_gbs,dram_write_gbs,dram_total_gbs,l3miss_millions,ia_dram_bw_gbs,nonia_dram_bw_gbs,bw_source,dram_page_hit_rate_rd,dram_page_hit_rate_wr,dram_rd_latency_imc_clks,dram_rd_latency_ns,imc_freq_ghz
2026-09-17 21:55:03.250,21.9,0,100,25;100;100;0;0;0;0;67;0;0;0;33;0;0;0;25,1026,4676,4676;4656;4642;4625;3373;2897;2646;2630;3130;1397;2434;2853;1098;1360;1026;1501,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,77.1,0.0,0.0,0.0,0.0,16.0,63.4,91.02875264485677,5.264566077126397,21.658539136250813,22.561760690477158,2.0488053782998272,1174.0,0.0,0.0,0.0,0.0,61.6030910588387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-09-17 21:55:04.251,14.7,0,82,25;82;56;6;3;0;0;20;0;0;0;25;0;0;0;19,1309,4725,4701;4715;4725;4688;2627;3271;2548;2660;3244;3116;1317;2614;1309;2030;1331;1513,7.6,0.0,1047.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,78.1,0.0,0.0,0.0,0.0,16.0,63.4,93.50821269844434,6.354577353444092,21.71936721704444,23.266331321557132,1.6693076687422377,1122.7609329446063,0.0,0.0,0.0,0.0,62.97214884903966,0.0,0.0,0.0,0.0,0.0,450.0,1047.6,0.0,0.0,,,,,,,,,,,,
2026-09-17 21:55:05.251,17.0,0,83,44;64;83;12;2;2;0;12;3;0;0;29;0;2;0;20,1265,4729,4729;4729;4727;4729;3400;3289;3122;2645;3363;2774;2968;2614;1265;1298;1764;1770,7.6,0.0,1047.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,79.1,26.96,0.31,0.37,31.42,16.0,63.4,93.2565312867754,6.856160839355101,21.485340063491563,23.399072204789753,1.0475364575169723,1095.7696629213483,0.0,0.0,0.0,0.0,62.93723982658363,1.1,0.0,0.0,0.0,0.0,450.0,1047.6,0.0,0.0,,,,,,,,,,,,
2026-09-17 21:55:06.252,16.1,0,91,29;77;3;91;3;0;0;22;2;0;0;14;2;0;2;14,1045,4729,4727;4728;4729;4729;3412;3180;3336;2752;3393;3135;2681;2636;1168;1045;1173;1355,7.5,0.0,1033.9,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,82.1,26.96,0.31,0.37,31.42,16.0,63.4,94.00724289184663,6.246850652126141,21.064582922109743,22.54572608926129,1.3396794884522423,962.4146341463414,0.0,0.0,0.0,0.0,61.567726577972856,1.2,0.0,0.0,0.0,0.0,450.0,1033.9,0.0,0.0,,,,,,,,,,,,
2026-09-17 21:55:07.268,19.4,0,86,31;75;17;86;9;4;0;29;4;3;2;25;6;0;0;18,1624,4726,4723;4726;4716;4726;3298;2919;3300;2916;2970;3183;3141;2783;1624;2235;2491;1892,7.2,0.0,1020.3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,82.1,26.96,0.31,0.37,31.42,16.1,63.4,99.71470373606752,6.635715440221546,21.628775968579603,23.417991867512903,1.7513073927711265,1101.7859237536657,0.0,0.0,0.0,0.0,63.33836928149822,1.2,0.0,0.0,0.0,0.0,450.0,1020.3,0.0,0.0,,,,,,,,,,,,
2026-09-17 21:55:08.269,20.4,0,84,39;76;11;84;8;5;0;44;6;0;0;25;8;3;0;17,1338,4713,4692;4706;4694;4713;3422;3450;3446;3107;2919;3382;2601;2742;1517;1860;1338;1990,8.8,0.0,1042.1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,79.1,26.96,0.31,0.37,31.42,16.1,63.4,99.61949105426159,6.153778689852524,21.84038005513937,23.280098686012153,1.4657952392914817,1078.595015576324,0.0,0.0,0.0,0.0,61.93521292363743,1.2,0.0,0.0,0.0,0.0,450.0,1038.0,0.0,0.0,,,,,,,,,,,,
2026-09-17 21:55:09.269,17.7,0,85,46;66;6;85;3;2;0;31;3;0;0;28;0;0;0;14,1130,4711,4691;4711;4663;4705;3057;3392;2968;2827;3251;3067;3016;3062;1194;1590;1130;1550,7.3,0.0,1028.3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,79.1,31.35,0.21,0.4,36.1,16.2,63.4,93.71539556438273,6.9644654522893354,21.697785912928257,23.53955632515929,1.4259150616126135,1164.4829545454545,0.0,0.0,0.28392150064676325,0.011312598531896418,63.335538981238976,1.2,0.0,0.0,0.0,0.0,450.0,1028.3,0.0,0.0,,,,,,,,,,,,
2026-09-17 21:55:10.269,23.0,0,95,48;64;12;95;6;3;0;22;14;0;0;80;3;0;0;19,1467,4729,4722;4728;4729;4728;3012;3427;3053;2820;3446;2657;2652;3408;1467;1688;2157;1907,7.5,0.0,1049.3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,78.1,31.35,0.21,0.4,36.1,16.4,63.4,92.84031347794966,6.558914834074676,21.665398357492506,23.327378683334047,0.9921937098091638,1056.121212121212,0.0,0.0,0.0,0.0,62.07790403700236,1.1,0.0,0.0,0.0,0.0,450.0,1053.3,0.0,0.0,,,,,,,,,,,,
2026-09-17 21:55:11.269,21.8,0,94,40;73;5;94;6;2;0;34;17;0;0;59;3;0;0;14,1627,4724,4713;4720;4711;4724;3319;3393;3349;3010;3347;3191;3309;3356;1627;1746;1750;2070,7.5,0.0,1879.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,73.1,31.35,0.21,0.4,36.1,18.1,63.4,93.62744288790053,6.619187954934719,21.52985772119052,23.211450455154196,1.0020626498533047,1044.7971014492753,0.0,0.0,0.0,0.0,63.23340043980574,1.1,0.0,0.0,0.0,0.0,450.0,1049.3,0.0,0.0,,,,,,,,,,,,
2026-09-17 21:55:12.270,17.6,0,88,20;88;8;81;2;0;0;36;2;0;0;30;3;0;0;14,1189,4729,4726;4728;4729;4729;3433;3277;3085;2953;3392;2337;2827;3011;1328;1333;1189;1739,7.2,0.0,3817.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,79.1,31.35,0.21,0.4,36.1,19.8,63.4,94.04314946713654,6.833618533071401,21.46783584408138,23.330026246024214,1.195661617513827,1060.4492753623188,0.0,0.0,0.0,0.0,62.908535154687534,1.1,0.0,0.0,0.0,0.0,450.0,2729.1,0.0,0.0,,,,,,,,,,,,
